production_id,title,author,translator,publisher,publish_date,price,isbn,original_title,categories,url
10012150962683056818003,關於我在無意間被隔壁的天使變成廢柴這件事 after the rain 2 (首刷限定版),佐伯さん/ 原作; はねこと/ 原作插畫; ぷよ,洪湘雲,東立出版社有限公司,2026-01-12,220,9786260263263,お隣の天使様にいつの間にか駄目人間にされていた件 after the rain,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012150962683056818003
10012150962683056821003,政宗君的復仇新裝版 6,竹岡葉月/ 原作; Tiv,加奈,東立出版社有限公司,2026-01-12,360,9786260220709,新装版政宗くんのリベンジ,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012150962683056821003
10012116312683007650003,我死前的百物語 2,的野安志,洪子喬,尖端出版,2025-10-09,200,9786264343008,僕が死ぬだけの百物語,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012116312683007650003
10012150962683051046005,dear親愛的 2 (新裝版),藤原ここあ,羅筱君,東立出版社有限公司,2026-01-09,260,9786260252212,dear新装版,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012150962683051046005
10012011762683068931004,傷口與繃帶 1,七井海星,YUIKO,台灣角川股份有限公司,2026-01-08,140,9786264359696,傷口と包帯,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012011762683068931004
10012011762683069028000,我與妳結為夫妻之前 2,しの,彼明,台灣角川股份有限公司,2026-01-08,140,9786264359788,僕と君が夫婦になるまで,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012011762683069028000
10012011762683068907009,我想蹺掉太子妃培訓 6,沢野いずみ/ 原作; 夢咲ミル/ 角色原案; 菅田うり,Runoka,台灣角川股份有限公司,2026-01-08,140,9786264359801,妃教育から逃げたい私,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012011762683068907009
10012011762683068903001,"被坐在後面的辣妹喜歡上, 我快要沒轍了。 1",陸奥こはる/ 原作; 緋月ひぐれ/ 角色原案; 栖夜まろみ,林佳和,台灣角川股份有限公司,,140,9786264359795,うしろの席のぎゃるに好かれてしまった。もう俺はダメかもしれない。,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012011762683068903001
10012150962683060819003,朱音落語 18 (首刷限定版),末永裕樹/ 原作; 馬上鷹将,林志昌,東立出版社有限公司,2026-01-19,170,9786260263607,あかね噺,中文書 > 📌圖文漫畫85折起 > 日系溫馨療癒／勵志搞笑,https://www.eslite.com/product/10012150962683060819003
10012011762683069130000,複製品的我也會談戀愛。 3,榛名丼/ 原作; raemz/ 角色原案; 花田ももせ,簡于恒,台灣角川股份有限公司,2026-01-08,140,9786264359689,レプリカだって、恋をする。,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012011762683069130000
10012241782683002164000,藥屋少女的呢喃: 貓貓的後宮解謎手帳 19,日向夏/ 原作; 篠冬子/ 角色原案; 倉田三之路,盧昀詩,長鴻出版社股份有限公司,2025-10-08,130,9786264305297,薬屋のひとりごと: 猫猫の後宮謎解き手帳,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012241782683002164000
10012150962683056826008,孤獨搖滾! 外傳: 廣井菊理的狂飲日記 3 (首刷限定版),はまじあき/ 原案; くみちょう,叢琳,東立出版社有限公司,2026-01-19,230,9786260259914,ぼっち．ざ．ろっく!外伝 廣井きくりの深酒日記,中文書 > 📌圖文漫畫85折起 > 日系溫馨療癒／勵志搞笑,https://www.eslite.com/product/10012150962683056826008
10012116312683070350008,午夜的傾心旋律 7,五十嵐正邦,李妮瑄,尖端出版,2026-01-15,150,9786264348966,真夜中ハートチューン,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012116312683070350008
10012023942683070293008,進擊的色情子小姐: 奇怪的大姊姊想要跟男高中生好好相處 3,此ノ木よしる,CHIKA,青文出版社股份有限公司,2026-01-08,140,9786264366502,進撃のえろ子さん: 変なお姉さんは男子高生と仲良くなりたい,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012023942683070293008
10012023942683010917001,京兼家的新娘 1,日野杏壽,亞美,青文出版社股份有限公司,2025-10-02,140,9786264362368,京兼家の花嫁,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012023942683010917001
