NEW_TAICCA_ID,1106亦式ID,TAICCA_ID,未納入書目FIND,bookscom_production_id,kobo_production_id,readmoo_production_id,isbn,bookscom_isbn,kobo_isbn,readmoo_isbn,eisbn,bookscom_eisbn,kobo_eisbn,readmoo_eisbn,title,備註,bookscom_title,kobo_title,readmoo_title,processed_title,bookscom_processed_title,kobo_processed_title,readmoo_processed_title,original_title,bookscom_original_title,kobo_original_title,readmoo_original_title,author,bookscom_author,kobo_author,readmoo_author,translator,bookscom_translator,kobo_translator,readmoo_translator,publisher,Clean_publisher,bookscom_publisher,kobo_publisher,readmoo_publisher,min_publish_date,max_publish_date,bookscom_publish_date,kobo_publish_date,readmoo_publish_date,price,bookscom_original_price,kobo_original_price,readmoo_original_price,bookscom_category,kobo_category,readmoo_category,kobo_type_ebook,readmoo_type_ebook,bookscom_url,kobo_url,readmoo_url,FALSE,cluster
E253-00472,E253-00302,E253-00472,,,i-10-nldkx,,9786267691519,,9786267691519.0,,9786267691519,,9786267691519.0,,i室設圈│漂亮家居10：住宅現在進行式，nLDKX改寫家的可能性,,,i室設圈│漂亮家居10：住宅現在進行式，nLDKX改寫家的可能性,,i室設圈漂亮家居10住宅現在進行式nldkx改寫家的可能性,,i室設圈漂亮家居10住宅現在進行式nLDKX改寫家的可能性,,,,,,"i室設圈, 漂亮家居編輯部",,"i室設圈, 漂亮家居編輯部",,,,,,城邦出版集團,城邦文化事業股份有限公司,,城邦出版集團,,2025/7/17,2025/7/17,,2025/7/17,,349.0,,349.0,,,非小說-藝術與建築-建築學,,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/i-10-nldkx,,False,44
E253-00473,E253-03492,E253-00473,,E050275483,,210400029000101.0,9786267691496,9786267691496.0,,9786267691496.0,9786267691519,9786267691519.0,,9786267691519.0,i室設圈│漂亮家居10：住宅現在進行式，nLDKX改寫家的可能性(電子書),,i室設圈│漂亮家居10：住宅現在進行式，nLDKX改寫家的可能性 (電子書),,i室設圈│漂亮家居10：住宅現在進行式，nLDKX改寫家的可能性(電子書),i室設圈漂亮家居10住宅現在進行式nLDKX改寫家的可能性電子書,i室設圈漂亮家居10住宅現在進行式nLDKX改寫家的可能性電子書,,i室設圈漂亮家居10住宅現在進行式nLDKX改寫家的可能性電子書,住宅現在進行式，nLDKX改寫家的可能性,,,住宅現在進行式，nLDKX改寫家的可能性,i室設圈│漂亮家居編輯部,i室設圈│漂亮家居編輯部,,i室設圈│漂亮家居編輯部,,,,,麥浩斯,麥浩斯資訊股份有限公司,麥浩斯,,麥浩斯,2025/7/17,2025/8/5,2025/8/5,,2025/7/17,499.0,499.0,,349.0,中文書 >  藝術設計 > 室內設計 > 空間設計/佈置,,藝術設計-設計,,固定版面 EPUB,https://www.books.com.tw/products/E050275483,,https://readmoo.com/book/210400029000101,False,44
E253-00468 / E253-00467,E253-05631 / E253-01769,E253-00467,,,incarnation-26,210411649000101.0,9786267409985,,9786267409985.0,9786267409985.0,9786267409985,,9786267409985.0,9786267409985.0,Incarnation受肉：上路市剛作品集,,,Incarnation受肉：上路市剛作品集,Incarnation受肉：上路市剛作品集,incarnation受肉上路市剛作品集,,Incarnation受肉上路市剛作品集,Incarnation受肉上路市剛作品集,,,,,上路市剛,,上路市剛,上路市剛,林農凱,,,林農凱,北星圖書,北星圖書事業股份有限公司,,北星圖書,北星圖書,2025/9/18,2025/9/18,,2025/9/18,2025/9/18,495.0,,495.0,495.0,,非小說-藝術與建築-藝術技術,藝術設計-雕塑,EPUB 3 (Adobe DRM),固定版面 EPUB,,https://www.kobo.com/tw/zh/ebook/incarnation-26,https://readmoo.com/book/210411649000101,False,45
E253-00469,E253-05214,E253-00469,,E050291859,,,9786267409992,9786267409992.0,,,9786267409985,9786267409985.0,,,Incarnation受肉：上路市剛作品集(電子書),,Incarnation受肉：上路市剛作品集 (電子書),,,Incarnation受肉上路市剛作品集電子書,Incarnation受肉上路市剛作品集電子書,,,,,,,上路市剛,上路市剛,,,林農凱,林農凱,,,北星,北星圖書事業股份有限公司,北星,,,2025/9/18,2025/9/18,2025/9/18,,,495.0,495.0,,,中文書 >  藝術設計 > 雕塑 > 各式雕塑,,,,,https://www.books.com.tw/products/E050291859,,,False,45
E253-00483,E253-00149,E253-00483,,,keira-fleur-handtied-bouquet2,,9786267721186,,9786267721186.0,,9786267721186,,9786267721186.0,,KEIRAFLEURHandtiedBouquet花藝之書２【花束與風格】：收集季節饋禮，韓式手綁花的獨特感性,,,KEIRA FLEUR Handtied Bouquet花藝之書２【花束與風格】：收集季節饋禮，韓式手綁花的獨特感性,,keirafleurhandtiedbouquet花藝之書２花束與風格收集季節饋禮韓式手綁花的獨特感性,,KEIRAFLEURHandtiedBouquet花藝之書２花束與風格收集季節饋禮韓式手綁花的獨特感性,,케이라플레르 꽃다발 마스터 클래스,,케이라플레르 꽃다발 마스터 클래스,,金愛眞,,金愛眞,,,,,,悅知文化,,,悅知文化,,2025/7/7,2025/7/7,,2025/7/7,,452.0,,452.0,,,非小說-家庭與園藝-手工藝與嗜好,,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/keira-fleur-handtied-bouquet2,,False,46
E253-00484,E253-02498,E253-00484,,E050272571,,210396818000101.0,9786267537749,,,9786267537749.0,9786267721186,9786267721186.0,,9786267721186.0,KEIRAFLEURHandtiedBouquet花藝之書2【花束與風格】：收集季節饋禮，韓式手綁花的獨特感性(電子書),,KEIRA FLEUR Handtied Bouquet花藝之書2【花束與風格】：收集季節饋禮，韓式手綁花的獨特感性 (電子書),,KEIRAFLEURHandtiedBouquet花藝之書2【花束與風格】：收集季節饋禮，韓式手綁花的獨特感性(電子書),KEIRAFLEURHandtiedBouquet花藝之書2花束與風格收集季節饋禮韓式手綁花的獨特感性電子書,KEIRAFLEURHandtiedBouquet花藝之書2花束與風格收集季節饋禮韓式手綁花的獨特感性電子書,,KEIRAFLEURHandtiedBouquet花藝之書2花束與風格收集季節饋禮韓式手綁花的獨特感性電子書,케이라플레르 꽃다발 마스터 클래스,케이라플레르 꽃다발 마스터 클래스,,收集季節饋禮，韓式手綁花的獨特感性,金愛眞,金愛眞,,金愛眞,余映萱,余映萱,,余映萱,悅知文化,悅知文化,悅知文化,,悅知文化,2025/7/7,2025/7/7,2025/7/7,,2025/7/7,514.0,514.0,,514.0,中文書 >  生活風格 > 居家生活 > 花草園藝,,生活風格-園藝,,固定版面 EPUB,https://www.books.com.tw/products/E050272571,,https://readmoo.com/book/210396818000101,False,46
E253-00511,E253-06729,E253-00511,,,longleh,210404642000101.0,9786267727089,,9786267727089.0,9786267727102.0,9786267727089,,9786267727089.0,9786267727089.0,Lóng是阮leh烏白想,,,Lóng是阮leh烏白想,Lóng是阮leh烏白想,lóng是阮leh烏白想,,Lóng是阮leh烏白想,Lóng是阮leh烏白想,,,,,杜信龍,,杜信龍,杜信龍,,,,,前衛出版社,前衛出版社,,前衛出版社,前衛出版社,2025/7/22,2025/7/22,,2025/7/22,2025/7/22,266.0,,266.0,266.0,,非小說-參考與語言-外國語言,"分類導覽, 文學小說, 詩, Lóng是阮leh烏白想",EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/longleh,https://readmoo.com/book/210404642000101,False,47
E253-00512,E253-02786,E253-00512,,E050282787,,210404642000101.0,9786267727102,,,9786267727102.0,9786267727089,9786267727089.0,,9786267727089.0,Lóng是阮leh烏白想(電子書),,Lóng是阮leh烏白想 (電子書),,Lóng是阮leh烏白想,Lóng是阮leh烏白想電子書,Lóng是阮leh烏白想電子書,,Lóng是阮leh烏白想,,,,,杜信龍,杜信龍,,杜信龍,,,,,前衛,前衛出版社,前衛,,前衛出版社,2025/7/22,2025/7/22,2025/7/22,,2025/7/22,380.0,380.0,,266.0,中文書 >  文學小說 > 詩 > 華文現代詩,,文學小說-詩,,流動版面 EPUB,https://www.books.com.tw/products/E050282787,,https://readmoo.com/book/210404642000101,False,47
E253-12046,NEW2151,E253-10046,FIND_285,,mbti-nj,,1230009249752,,1230009249752.0,,1230009249752,,1230009249752.0,,MBTI深度研究：解密NJ型人格,,,MBTI深度研究：解密NJ型人格,,MBTI深度研究解密NJ型人格,,MBTI深度研究解密NJ型人格,,解密直覺與判斷的雙重力量,,解密直覺與判斷的雙重力量,,葉靜萱,,葉靜萱,,,,,,,,,,,2025/7/30,2025/7/30,,2025/7/30,,201.0,,201.0,,,非小說-健康與幸福-心理學,,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/mbti-nj,,False,-1
E253-12057,NEW3759,E253-10057,FIND_286,,,210402296000101.0,,,,,,,,,MBTI深度研究：解密NJ型人格：解密直覺與判斷的雙重力量,,,,MBTI深度研究：解密NJ型人格：解密直覺與判斷的雙重力量,MBTI深度研究解密NJ型人格解密直覺與判斷的雙重力量,,,MBTI深度研究解密NJ型人格解密直覺與判斷的雙重力量,解密直覺與判斷的雙重力量,,,解密直覺與判斷的雙重力量,葉靜萱,,,葉靜萱,,,,,龍文化出版,,,,龍文化出版,2025/7/26,2025/7/26,,,2025/7/26,199.0,,,199.0,,,勵志成長-潛能開發,,流動版面 EPUB,,,https://readmoo.com/book/210402296000101,False,-1
